date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:30:50	852/852	---M--	200	added ('OK')	text/plain	etag:%223300ce4-354-6525e4c411100%22	https://www.pltcollege.com/robots.txt		(from )
12:30:50	42203/42203	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202026%2011:30:49%20GMT	https://www.pltcollege.com/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/index.html	(from )
12:30:51	34390/34390	---M-Z	200	added ('OK')	text/css	etag:%2235a14b3-8656-65277a714ad80-gzip%22	https://www.pltcollege.com/assets/css/global.css?v=20260523	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/css/global04c5.css	(from https://www.pltcollege.com/)
12:30:51	23060/23060	---M-Z	200	added ('OK')	text/css	etag:%2235a14b8-5a14-65277aa6b2b80-gzip%22	https://www.pltcollege.com/assets/css/home.css?v=20260523	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/css/home04c5.css	(from https://www.pltcollege.com/)
12:30:52	15957/15957	---M--	200	added ('OK')	image/png	etag:%2235a14ad-3e55-6525e3cc1c800%22	https://www.pltcollege.com/assets/images/logo.png	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/images/logo.png	(from https://www.pltcollege.com/)
12:30:53	43596/43596	---M-Z	200	added ('OK')	text/html	date:Sun,%2009%20Aug%202026%2011:30:52%20GMT	https://www.pltcollege.com/about-pltci/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/index.html	(from https://www.pltcollege.com/)
12:30:53	47396/47396	---M--	200	added ('OK')	image/jpeg	etag:%2235a14ac-b924-6525e3cc1c800%22	https://www.pltcollege.com/assets/images/lobby.jpg	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/images/lobby.jpg	(from https://www.pltcollege.com/)
12:30:53	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:53%20GMT	https://www.pltcollege.com/about-pltci/mission-vision/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/mission-vision/index.html	(from https://www.pltcollege.com/)
12:30:53	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:53%20GMT	https://www.pltcollege.com/about-pltci/chairman-message/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/chairman-message/index.html	(from https://www.pltcollege.com/)
12:30:54	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:53%20GMT	https://www.pltcollege.com/about-pltci/deans-message/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/deans-message/index.html	(from https://www.pltcollege.com/)
12:30:55	44072/44072	---M--	200	added ('OK')	image/jpeg	etag:%2235a14aa-ac28-6525e3cc1c800%22	https://www.pltcollege.com/assets/images/library.jpg	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/images/library.jpg	(from https://www.pltcollege.com/)
12:30:55	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:54%20GMT	https://www.pltcollege.com/about-pltci/faculty-leadership/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/faculty-leadership/index.html	(from https://www.pltcollege.com/)
12:30:55	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:54%20GMT	https://www.pltcollege.com/about-pltci/history-legacy/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/history-legacy/index.html	(from https://www.pltcollege.com/)
12:30:55	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:54%20GMT	https://www.pltcollege.com/about-pltci/accreditations-recognition/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/accreditations-recognition/index.html	(from https://www.pltcollege.com/)
12:30:55	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:55%20GMT	https://www.pltcollege.com/about-pltci/international-collaborations/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/international-collaborations/index.html	(from https://www.pltcollege.com/)
12:30:56	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:55%20GMT	https://www.pltcollege.com/about-pltci/why-choose-pltci/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/about-pltci/why-choose-pltci/index.html	(from https://www.pltcollege.com/)
12:30:56	13/13	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2009%20Aug%202026%2011:30:56%20GMT	https://www.pltcollege.com/mbbs-in-philippines/nmc-approved-colleges/	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/mbbs-in-philippines/nmc-approved-colleges/index.html	(from https://www.pltcollege.com/)
12:30:56	28372/28372	---M--	200	added ('OK')	image/jpeg	etag:%2235a14a8-6ed4-6525e3cc1c800%22	https://www.pltcollege.com/assets/images/anatomy.jpg	C:/My%20Web%20Sites/Medcon-ph/www.pltcollege.com/assets/images/anatomy.jpg	(from https://www.pltcollege.com/)
